text,label
"Hello, how are you doing today?",0
Can you please send me the meeting agenda?,0
I'll be there in 10 minutes,0
Did you watch the cricket match yesterday?,0
"Mom, I'll call you back later",0
Let's catch up over coffee this weekend,0
Your parcel has been delivered,0
Please find the attached report,0
Can we reschedule our appointment?,0
Thank you for your help,0
Have a nice day,0
I'm running a bit late,0
Don't forget to bring the documents,0
What's for dinner tonight?,0
I'll pick up the kids from school,0
Please call me when you're free,0
The meeting went well,0
Happy birthday to you,0
See you tomorrow,0
How's the weather there?,0
Can I borrow your pen?,0
Please close the door,0
I'll send you the details shortly,0
Let me know if you need anything,0
Have you completed the assignment?,0
I'm feeling a bit tired today,0
Let's order some food,0
The movie was really good,0
I'll be working from home tomorrow,0
Can you help me with this problem?,0
Thank you for the gift,0
It was nice meeting you,0
Please reply at your earliest convenience,0
I'll get back to you on that,0
Let's discuss this offline,0
I appreciate your patience,0
Have a safe journey,0
Call me when you reach,0
Let's meet at 5 PM,0
I'm stuck in traffic,0
Can you remind me about the meeting?,0
Your order has been shipped,0
"Payment received, thank you",0
Please review the document,0
I'll update you soon,0
Have a great weekend,0
"Hello sir, your HDFC account has been blocked. Please share your OTP to unblock it immediately.",1
This is RBI calling. Your account shows suspicious activity. Share your CVV and PIN to verify.,1
Your KYC has expired. Update now or your account will be permanently suspended.,1
Congratulations! You have won a lottery of 50 lakhs. Send your Aadhaar and PAN number to claim.,1
Your parcel is held at customs. Pay Rs 2000 clearance fee via UPI to release it.,1
Microsoft technical support. Your computer has a virus. Please install AnyDesk immediately.,1
Income tax department. A case is registered against you. Share your PIN to avoid arrest.,1
plz share your otp,1
"Sir your debit card is blocked, give me your card number and expiry",1
"This is from PhonePe, your account will be deactivated. Verify your UPI PIN now.",1
We have detected unauthorized login in your account. Provide OTP to secure it.,1
Your electricity bill is pending. Pay immediately or power will be cut.,1
Your SIM card will be blocked in 2 hours. Call this number for KYC update.,1
Amazon customer service. You have a refund of Rs 5000. Share bank details.,1
Your loan has been pre-approved. Pay processing fee of Rs 2000 to get amount.,1
This is police department. Your son is in accident. Transfer Rs 50000 immediately.,1
Your ATM card is expired. Renew now by sharing your card details and PIN.,1
Government scheme: You have received Rs 15000 subsidy. Send OTP to claim.,1
Your WhatsApp account is being hacked. Forward this code to secure it.,1
Your Paytm account will be suspended. Verify KYC now.,1
This is TRAI. Your number is involved in illegal activities. Press 9 to talk to officer.,1
Your net banking password is expired. Click this link to update.,1
"Dear customer, your SBI account is on hold. Call 1800-XXX-XXXX immediately.",1
"Your credit card has been charged Rs 50,000. If not you, call this number.",1
We are calling from courier service. Your Aadhaar card is required for delivery.,1
Your free fire account is blocked. Share login details to unlock.,1
You have won an iPhone 15. Pay Rs 5000 shipping charges to receive it.,1
Your Instagram account is reported. Verify with OTP or it will be deleted.,1
Your gas subsidy is pending. Update your bank details with OTP.,1
Your Fastag account is blacklisted. Recharge now with Rs 2000.,1
Your Google Pay cashback of Rs 10000 is waiting. Complete KYC.,1
Your EPF account has been suspended. Call this number for reactivation.,1
Your passport application is incomplete. Pay Rs 1500 fee to proceed.,1
Your Aadhaar card is linked to criminal activity. Press 1 to speak to officer.,1
Your bank account will be frozen. Verify your identity by sharing OTP.,1
Your insurance policy is lapsed. Pay premium now to avoid penalty.,1
Your demat account is inactive. Share your login credentials to activate.,1
Your UPI ID is blocked. Update your PIN immediately.,1
Your phone number is selected for a special prize. Send Rs 2000 to claim.,1
Your voter ID is invalid. Update now with personal details.,1
Your ration card is expired. Renew by paying Rs 500.,1
Your job application is selected. Pay registration fee of Rs 1500.,1
Your cryptocurrency wallet is hacked. Transfer funds to safe wallet.,1
Your Bitcoin investment is doubled. Send more funds to multiply.,1
Your Paytm KYC is pending. Share PAN and Aadhaar photo.,1
Your Google account will be deleted. Verify with password.,1
Your Facebook page is reported. Click here to appeal.,1
Your YouTube channel is demonetized. Pay Rs 3000 to fix.,1
Your domain name is expiring. Renew now at discounted price.,1
Your hosting account is suspended. Update payment method.,1
Your SSL certificate is invalid. Click to renew.,1
Your Microsoft 365 subscription is expired. Update billing info.,1
Your Adobe account is locked. Verify email and password.,1
Your Netflix account is on hold. Update payment details.,1
Your Amazon Prime membership is expiring. Renew now.,1
Your Uber account is suspended. Verify payment method.,1
Your Ola account has negative balance. Recharge now.,1
Your Swiggy order is pending. Pay now to confirm.,1
Your Zomato account is hacked. Change password immediately.,1
Your IRCTC account is blocked. Verify with OTP.,1
Your DigiLocker account is locked. Update Aadhaar.,1
Your Umang app profile is incomplete. Complete KYC.,1
Your Aarogya Setu data is outdated. Update health status.,1
Your Cowin vaccination certificate is invalid. Re-register with Aadhaar.,1
